record_id,wfdb_path,original_csv_path,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,sampling_rate_hz,units,lead_order,split,run_id
medalcare_000001,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000001_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000001_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000001
medalcare_000002,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000002_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000002_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000002
medalcare_000003,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000003_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000003_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000003
medalcare_000004,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000004_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000004_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000004
medalcare_000005,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000005_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000005_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000005
medalcare_000006,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000006_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000006_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000006
medalcare_000007,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000007_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000007_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000007
medalcare_000008,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000008_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000008_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000008
medalcare_000009,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000009_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000009_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000009
medalcare_000010,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000010_filtered,F:\IC\Mres Project\Interpreting-Latent-Space-in-Healthcare-Foundational-Models-Using-Digital-Twins\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\run_000010_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",test,avblock/run_S62/run_000010
